Name_spalding;Nb_spalding;zoo_bio;zoo_prod;surftemp;btmtemp_shal;btmtemp_deep;NPP
North Greenland;1;265.2024845;1.423521369;-1.359863961;-0.391930989;0.229340016;46.34301343
North and East Iceland;2;850.2183726;9.576560923;1.181607556;4.538860997;0.489424028;430.5990449
East Greenland Shelf;3;664.4947308;8.542467451;0.937292379;0.831315061;2.706055126;277.1291775
West Greenland Shelf;4;1068.069291;14.55732364;2.051261885;2.58750863;3.72541347;369.7718594
Northern Grand Banks - Southern Labrador;5;1504.342717;23.38452421;2.833224423;2.435861456;3.721454077;552.8435726
Northern Labrador;6;1173.860179;15.21575912;0.89033366;1.210896979;4.330956484;261.7437543
Hudson Complex;8;1069.794;12.69347576;0.297470037;0.229962432;NA;407.5017334
Beaufort-Amundsen-Viscount Melville-Queen Maud;11;405.9595086;2.28379144;-0.975637723;-0.498182856;0.525477763;129.8099988
Beaufort Sea - continental coast and shelf;12;638.1776549;7.313725947;-0.795588369;-0.387543552;-0.247049517;480.7474628
Chukchi Sea;13;1258.145361;24.66370353;0.045702333;0.141927244;-0.256138813;382.2149562
East Siberian Sea;15;657.4232146;6.879895636;-0.997828956;-0.947585123;0.165674161;290.1069111
Laptev Sea;16;694.2159871;7.514946382;-0.45155352;-0.470567047;-0.397129824;582.4860895
Kara Sea;17;664.013359;6.264885378;-0.637664833;-0.599721999;-0.492561192;434.6001297
North and East Barents Sea;18;758.3118361;8.893464453;0.569724479;0.719576755;0.152415541;315.0718025
White Sea;19;948.7249651;14.43480935;2.476466592;2.140372514;NA;2364.041207
South and West Iceland;20;1237.212231;32.98612244;8.7064468;6.481634916;4.563876229;779.2550034
Faroe Plateau;21;1203.034966;28.02834692;7.054506747;7.112125256;2.673340317;639.1577657
Southern Norway;22;1357.302798;31.49755758;8.64063765;8.026273294;3.056089925;993.5464349
Northern Norway and Finnmark;23;1163.49551;22.31582554;5.991571901;4.99185269;1.598669765;718.4217383
Baltic Sea;24;1430.325301;34.26573808;6.652607433;6.102258;NA;3649.691455
North Sea;25;1709.943204;52.90229407;9.969740224;10.04313702;1.611056891;1720.057459
Celtic Seas;26;1584.213723;46.81051088;11.8694368;11.41313379;6.567844468;1178.070491
South European Atlantic Shelf;27;1665.13919;55.24388741;14.62936386;14.42926043;5.153708872;1022.491308
Saharan Upwelling;28;1901.329881;94.15589357;18.23892424;17.38844789;5.822809125;1749.570107
Azores Canaries Madeira;29;1198.405148;26.23776099;17.08863728;NA;3.396254157;472.0374828
Adriatic Sea;30;1322.064749;36.1223278;14.67636405;13.91012796;12.34183356;1013.536337
Gulf of St. Lawrence - Eastern Scotian Shelf;37;2194.290666;46.95842668;4.741005786;4.841112879;3.43454794;1408.465535
Southern Grand Banks - South Newfoundland;38;1885.851675;35.95387405;4.81459989;3.822887845;3.996344119;699.2941829
Scotian Shelf;39;2113.424936;41.83474869;8.07850794;6.729808637;3.387793987;888.9740142
Virginian;41;1924.734986;66.75146217;13.94487582;11.67220532;4.565885637;1992.196957
Northern Gulf of Mexico;43;995.3457017;34.94559583;22.19502305;20.63874149;6.921570725;1559.869747
Black Sea;44;2029.266348;76.62142142;11.74013373;9.762205658;9.439760001;0
Sea of Okhotsk;45;2190.991386;50.67548491;1.396710004;1.221728188;2.577713652;968.4724684
Oyashio Current;47;2380.091558;59.63416995;3.305570806;3.653176349;1.962909015;668.7177211
Northeastern Honshu;48;2087.652973;61.43617275;10.67223457;7.934956615;2.245531446;941.710458
Sea of Japan/East Sea;49;2119.511431;54.41609289;7.100380901;5.009574116;0.992424713;934.6584387
Yellow Sea;50;1720.199454;56.15666456;12.62358442;12.52107045;NA;2501.191747
Central Kuroshio Current;51;1193.300899;37.30485341;19.50167206;14.39103392;3.889906283;822.6049732
East China Sea;52;1483.203185;51.79219936;19.43632369;17.63014508;7.41876892;1438.726439
Aleutian Islands;53;2109.598622;48.82689416;4.989490536;5.658920569;1.801847407;489.2329179
Gulf of Alaska;54;1956.823476;50.48780015;5.99317875;5.570774429;2.279202323;826.2333279
Cortezian;60;2069.526564;125.4404086;20.54702884;18.49434069;7.222171012;1640.36936
Magdalena Transition;61;1103.889774;29.91840555;18.93322286;15.72102693;2.989537374;976.77744
Bermuda;62;687.9609239;14.23329963;22.17512046;NA;2.14357308;327.1808666
Bahamian;63;277.287147;3.014427451;25.25822727;19.88179048;5.458349661;330.9922059
Eastern Caribbean;64;469.9761589;9.17939743;25.82615542;NA;4.176610374;342.5019166
Greater Antilles;65;430.7611372;6.286432982;26.77696501;26.31167521;7.540762625;379.8345655
Southern Caribbean;66;1033.752058;46.34565613;25.01695008;22.58029485;6.947110905;688.5648678
Southwestern Caribbean;67;543.5669938;13.69381358;26.52108771;25.93926524;6.992545886;447.0086292
Western Caribbean;68;411.130416;6.354801891;27.02485809;25.53499006;7.352865302;449.3436006
Southern Gulf of Mexico;69;738.6132166;20.3603717;24.50334072;23.95281831;6.516441908;588.7037121
Floridian;70;747.8178505;20.81211697;23.58222116;21.02442801;10.62525257;1017.203879
Guianan;71;1437.512992;96.89822272;25.957806;26.17071324;7.537063048;1696.510314
Amazonia;72;1027.003624;47.32747313;26.97903269;27.79045961;6.758370645;1559.068331
Sao Pedro and Sao Paulo Islands;73;1136.502993;46.68606863;23.48401724;NA;2.231993013;337.9226425
Fernando de Naronha and Atoll das Rocas;74;1163.350905;45.04397569;24.27197194;NA;1.534640452;266.489338
Northeastern Brazil;75;657.8992097;18.60055682;25.85291371;27.0366239;6.29729006;328.6544994
Eastern Brazil;76;553.4402023;14.33239988;24.25120828;23.26516681;4.582102608;421.7759272
Trindade and Martin Vaz Islands;77;530.1956602;6.832000791;23.61757521;NA;1.30192652;181.9287378
St. Helena and Ascension Islands;78;1219.641232;38.55501002;22.16796633;NA;2.507951492;342.9858341
Cape Verde;79;1459.530925;62.6157591;20.47003006;NA;2.70985582;535.0271653
Gulf of Guinea Upwelling;82;1545.719675;109.5540734;22.15729358;24.92889957;5.7931931;734.9177354
