Nb_spalding;Name_spalding;surftempQ1;surftempQ2;surftempQ3;surftempQ4;btmtemp_shalQ1;btmtemp_shalQ2;btmtemp_shalQ3;btmtemp_shalQ4;btmtemp_deepQ1;btmtemp_deepQ2;btmtemp_deepQ3;btmtemp_deepQ4
1;North Greenland;-1.451364438;-1.446097757;-1.194137396;-1.347856254;-0.435924569;-0.430372719;-0.315297061;-0.386129606;0.227333769;0.235853977;0.22968418;0.224488137
2;North and East Iceland;0.48122664;0.400749212;2.080787701;1.763666671;3.764028196;3.498310656;5.324775758;5.568329379;0.467583685;0.473116567;0.515944581;0.501051277
3;East Greenland Shelf;0.306016277;0.42747365;1.861510764;1.154168825;0.614221001;0.641186061;1.139439296;0.930413885;2.68629447;2.69504333;2.727011402;2.715871302
4;West Greenland Shelf;0.846338558;1.195319405;3.591121481;2.572268095;2.010438588;2.092532325;3.337903061;2.909160547;3.636619364;3.61390108;3.816088206;3.835045231
5;Northern Grand Banks - Southern Labrador;1.406494872;1.730402575;4.39684756;3.799152685;1.949303268;1.730138565;2.953290509;3.110713483;3.779976724;3.617520976;3.669928249;3.818390361
6;Northern Labrador;-0.451414072;-0.172213796;2.637602214;1.547360294;0.391857124;0.576522619;2.24454432;1.630663852;4.345446442;4.329281308;4.295150803;4.353947385
8;Hudson Complex;-1.202903677;-0.989064929;2.179789603;1.202059152;-0.860151106;-0.830552445;1.528621666;1.081931612;NA;NA;NA;NA
11;Beaufort-Amundsen-Viscount Melville-Queen Maud;-1.386679232;-1.372344701;-0.235719209;-0.90780775;-0.663744894;-0.685002571;-0.32261558;-0.321368379;0.527914771;0.527184296;0.524457266;0.522354719
12;Beaufort Sea - continental coast and shelf;-1.454093471;-1.359951479;0.260702876;-0.629011403;-1.301812946;-1.231546691;0.808220125;0.174965303;-0.29971503;-0.300636977;-0.187366308;-0.200479753
13;Chukchi Sea;-1.612901243;-1.191324036;2.390913594;0.596121019;-1.473005801;-1.093679164;2.32542443;0.80896951;-0.262035141;-0.281209749;-0.264103963;-0.217206401
15;East Siberian Sea;-1.567374344;-1.485117236;0.032986696;-0.971810942;-1.454443906;-1.398931833;-0.098398091;-0.838566662;0.161545264;0.210318629;0.18111843;0.10971432
16;Laptev Sea;-1.454297837;-1.290666996;1.449152468;-0.510401717;-1.411848079;-1.333058377;1.175457532;-0.312819263;-0.423666069;-0.415633687;-0.345485413;-0.403734128
17;Kara Sea;-1.339873578;-1.290952586;0.51838421;-0.438217379;-1.015589102;-1.167547533;-0.046268913;-0.169482448;-0.46398053;-0.502844386;-0.515837254;-0.487582597
18;North and East Barents Sea;-0.19851154;-0.118881798;1.568681619;1.027609636;0.338644175;0.168962059;1.199294075;1.171406713;0.154767826;0.125053463;0.127542862;0.202298015
19;White Sea;-0.493284029;0.576076399;5.898164946;3.924909053;-0.244070128;0.097280196;4.822636456;3.885643531;NA;NA;NA;NA
20;South and West Iceland;7.364238081;7.905227589;10.41616787;9.140153662;4.66358188;5.527524385;8.484074361;7.251359038;4.502403218;4.621890489;4.612399281;4.518811926
21;Faroe Plateau;6.02953876;6.47420134;8.309567508;7.40471938;6.534962207;6.801408678;7.707981208;7.404148932;2.625637197;2.705889323;2.686895974;2.674938775
22;Southern Norway;7.048360851;7.443574844;10.49309197;9.577522929;7.104827961;7.207163024;8.941276926;8.851825265;3.173381364;2.963081824;3.004899976;3.082996537
23;Northern Norway and Finnmark;4.591958068;4.817596808;7.671421619;6.88531111;4.228069729;4.107933653;5.789416732;5.841990644;1.521645486;1.401855728;1.655248509;1.815929337
24;Baltic Sea;2.747300215;4.694766697;10.71734153;8.451021295;3.002683718;4.022404689;9.091615654;8.292327937;NA;NA;NA;NA
25;North Sea;6.775400207;8.305312385;13.39765127;11.40059704;6.928297724;8.264959228;13.32693061;11.65236051;1.571056069;1.553906188;1.64583374;1.673431568
26;Celtic Seas;9.964642792;10.84121084;14.0639101;12.60798347;9.100038844;10.03818577;13.8462455;12.66806506;6.47123827;6.434902963;6.639551296;6.725685342
27;South European Atlantic Shelf;13.18262612;13.83298253;16.07849166;15.42335512;12.51309051;13.43879793;16.11747759;15.64767568;5.010181534;5.045725798;5.265118659;5.293809499
28;Saharan Upwelling;17.57933976;17.47458294;18.98046609;18.92130819;16.96656119;16.55545877;17.75580318;18.27596842;5.787887135;5.698828616;5.874183313;5.930337436
29;Azores Canaries Madeira;15.92591782;16.26632203;18.24311865;17.9191906;NA;NA;NA;NA;3.381097361;3.391564435;3.408929085;3.403425745
30;Adriatic Sea;11.31506235;13.2992099;17.99621885;16.09496508;11.24151001;12.53366118;16.43857337;15.42676729;12.31220113;12.28193662;12.35694343;12.41625305
37;Gulf of St. Lawrence - Eastern Scotian Shelf;2.239681155;3.006573595;7.271131637;6.446636757;3.1130543;3.485558319;6.516958518;6.248880378;3.358867377;3.365412952;3.519427061;3.494484372
38;Southern Grand Banks - South Newfoundland;3.0663883;3.595955191;6.625992639;5.970063431;2.601491375;2.753455009;4.938458356;4.998146639;3.857047452;3.800202593;4.118149668;4.209976763
39;Scotian Shelf;6.259276951;6.593155012;9.916459844;9.545139953;6.070122568;5.502114212;7.416687201;7.930310567;3.275704893;3.25206859;3.519414765;3.503987702
41;Virginian;10.58132869;11.72067627;17.36736466;16.11013368;7.218940555;8.774109725;15.94312194;14.75264907;4.347857449;4.323273754;4.791197494;4.80121385
43;Northern Gulf of Mexico;18.59909143;20.73763606;25.77741549;23.66594922;16.49749742;18.79053186;24.7176505;22.54928617;6.821643611;6.859577298;6.963116701;7.041945291
44;Black Sea;8.709077163;10.48114356;14.74273523;13.02757896;7.101487177;7.9823997;11.25567896;12.70925679;9.167737797;9.19085246;9.506079525;9.894370223
45;Sea of Okhotsk;-1.107041478;0.068899312;4.245287628;2.379694552;-0.774819629;-0.053757353;3.453793501;2.261696231;2.455592293;2.460780273;2.65395399;2.740528054
47;Oyashio Current;1.160788232;2.213201023;5.333638661;4.514655307;1.462358997;2.456778431;5.775450167;4.9181178;1.805605806;1.852715855;2.099915144;2.093399255
48;Northeastern Honshu;7.372941432;8.248430614;13.33410568;13.73346054;6.268943243;6.144491731;9.306822366;10.01956912;2.185941164;2.127470406;2.258693646;2.410020566
49;Sea of Japan/East Sea;4.150135447;5.678744243;9.89581996;8.676823954;3.013464281;4.043747416;6.564355073;6.416729695;0.879542808;0.91502016;1.073136597;1.101999286
50;Yellow Sea;6.755702582;10.13492073;18.09354249;15.51017189;6.779736733;9.931961268;17.8454013;15.52718248;NA;NA;NA;NA
51;Central Kuroshio Current;16.78661653;18.04771294;22.01018898;21.1621698;10.78407676;12.57549998;17.64614393;16.558415;3.740969818;3.794944458;3.988641324;4.03506953
52;East China Sea;15.55450658;17.90068351;23.06458378;21.22552088;13.88972976;16.02829902;21.04954547;19.55300609;7.373792532;7.351089854;7.459720018;7.490473278
53;Aleutian Islands;3.571126102;4.262788145;6.418337823;5.705710072;4.477105015;4.86624472;6.792757903;6.499574638;1.728880712;1.764076546;1.878488751;1.835943619
54;Gulf of Alaska;4.121616398;5.028243509;8.046242892;6.7766122;3.457669244;4.165720848;7.8040729;6.855634722;2.100934582;2.135987087;2.442803964;2.437083659
60;Cortezian;18.35143769;18.71246205;22.86986667;22.25434895;16.42636882;16.92500349;20.67599309;19.94999737;6.889837212;6.868202185;7.632594724;7.498049926
61;Magdalena Transition;18.57016094;17.90095653;19.15170223;20.11007174;15.62870485;14.34200434;15.57384635;17.33955216;2.977856734;2.928710033;3.002680412;3.048902318
62;Bermuda;20.28019533;20.84887267;23.98001834;23.59139552;NA;NA;NA;NA;2.135854654;2.142494924;2.150801372;2.145141372
63;Bahamian;23.94408722;24.46212844;26.44523498;26.18145845;18.48114896;19.4205813;21.14872162;20.47671003;5.294776852;5.428378653;5.611447831;5.498795306
64;Eastern Caribbean;25.215875;25.33093482;26.34955449;26.40825738;NA;NA;NA;NA;4.143926698;4.161563886;4.206266519;4.194684395
65;Greater Antilles;25.83228097;26.19344413;27.56467743;27.5174575;23.96679362;25.67755233;28.38898536;27.21336951;7.379751364;7.489556226;7.682423778;7.611319134
66;Southern Caribbean;24.02317288;24.37020663;25.66427785;26.01014296;21.46132931;21.8906061;23.27247857;23.69676545;6.822412929;6.850560075;7.031327489;7.084143127
67;Southwestern Caribbean;25.8616897;26.0293166;26.94634054;27.24700401;25.17175126;25.41333654;26.41120596;26.76076721;6.931481972;6.954064203;7.02869043;7.055946939
68;Western Caribbean;26.0829578;26.56265537;27.67620682;27.77761238;24.32037374;25.19683236;26.36216364;26.26059052;7.25804133;7.312267084;7.395111485;7.446041309
69;Southern Gulf of Mexico;22.86035481;23.94146733;25.84495188;25.36658885;22.26659324;23.54218375;24.94760697;25.05488928;6.414717639;6.47585836;6.547998502;6.627193132
70;Floridian;20.26361598;22.30492914;26.58147452;25.178865;18.04896816;19.63845969;23.71653367;22.69375052;10.42051196;10.50187133;10.78048025;10.79814672
71;Guianan;25.15969857;25.91061731;26.39834295;26.36256518;25.42457514;25.87418021;26.48895256;26.89514506;7.364019279;7.536797156;7.579401813;7.668033944
72;Amazonia;27.21774104;27.12146527;26.7109212;26.86600326;28.15789194;28.16682831;27.45456266;27.38255553;6.829344337;6.801183516;6.674984635;6.727970093
